ACCIDENT REF,BOROUGH,BORO,EASTING,NORTHING,CREFNO,CASUALTY CLASS,CASUALTY SEX,CASUALTY AGE (BANDED),CASUALTY AGE,NO. OF CASUALTIES,CASUALTY SEVERITY,PED LOCATION,PED MOVEMENT,MODE OF TRAVEL,ACCIDENT DATE
1180137853,CITY OF LONDON,0,533740,181260,1,3 Pedestrian,1 Male,25-59,37,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/9
1180141705,CITY OF LONDON,0,531371,181575,1,3 Pedestrian,1 Male,0-15,0,1,2,08 In Centre Of Carriageway,1 From Drivers N/Side,1 Pedestrian,2018/10/27
1180142810,CITY OF LONDON,0,531250,181590,1,3 Pedestrian,2 Female,16-24,23,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/1
48180815498,CITY OF LONDON,0,533250,181530,1,3 Pedestrian,1 Male,25-59,42,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/3
48180815515,CITY OF LONDON,0,532440,180820,1,3 Pedestrian,2 Female,16-24,22,1,2,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian,2018/10/6
48180820357,CITY OF LONDON,0,532740,181070,2,3 Pedestrian,1 Male,60+,77,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/1
48180820486,CITY OF LONDON,0,531380,181530,1,3 Pedestrian,1 Male,25-59,36,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/9
48180820497,CITY OF LONDON,0,532460,181500,1,3 Pedestrian,2 Female,25-59,43,1,1,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian,2018/11/13
48180820521,CITY OF LONDON,0,532480,181040,2,3 Pedestrian,2 Female,25-59,39,1,1,01 Crossing Road On Ped Xing,2 From Drivers N/Side Msk,1 Pedestrian,2018/11/19
48180820675,CITY OF LONDON,0,532630,181120,1,3 Pedestrian,1 Male,25-59,29,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/1
48180820677,CITY OF LONDON,0,533310,181640,1,3 Pedestrian,1 Male,25-59,43,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/1
48180820761,CITY OF LONDON,0,533300,180980,1,3 Pedestrian,2 Female,25-59,27,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/12/7
48180820813,CITY OF LONDON,0,532850,180740,1,3 Pedestrian,1 Male,25-59,33,1,1,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian,2018/12/21
48180820857,CITY OF LONDON,0,531300,181350,1,3 Pedestrian,1 Male,25-59,29,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/20
1180136147,WESTMINSTER,1,529480,179260,1,3 Pedestrian,1 Male,0-15,13,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/1
1180136147,WESTMINSTER,1,529480,179260,2,3 Pedestrian,2 Female,25-59,43,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/1
1180136520,WESTMINSTER,1,528010,179650,1,3 Pedestrian,2 Female,25-59,28,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/3
1180136645,WESTMINSTER,1,529520,180620,1,3 Pedestrian,2 Female,60+,79,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/3
1180136867,WESTMINSTER,1,529240,178790,2,3 Pedestrian,2 Female,25-59,38,1,1,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian,2018/10/4
1180136954,WESTMINSTER,1,526690,180750,2,3 Pedestrian,1 Male,25-59,37,1,1,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/4
1180137067,WESTMINSTER,1,528908,181206,1,3 Pedestrian,1 Male,16-24,17,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/5
1180137285,WESTMINSTER,1,529340,181200,1,3 Pedestrian,2 Female,25-59,32,1,1,08 In Centre Of Carriageway,3 From Drivers O/Side,1 Pedestrian,2018/10/6
1180137501,WESTMINSTER,1,529864,180230,2,3 Pedestrian,1 Male,25-59,53,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/7
1180138149,WESTMINSTER,1,529452,180585,1,3 Pedestrian,1 Male,25-59,58,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/10
1180138387,WESTMINSTER,1,529550,179130,1,3 Pedestrian,1 Male,25-59,49,1,1,08 In Centre Of Carriageway,8 In Rd Back To Traffic,1 Pedestrian,2018/10/11
1180138439,WESTMINSTER,1,528410,178620,1,3 Pedestrian,2 Female,16-24,23,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/11
1180138456,WESTMINSTER,1,527950,181170,1,3 Pedestrian,1 Male,25-59,30,1,1,10 Unknown,1 From Drivers N/Side,1 Pedestrian,2018/10/10
1180138582,WESTMINSTER,1,529040,181310,1,3 Pedestrian,2 Female,60+,76,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/11
1180138660,WESTMINSTER,1,528460,181100,1,3 Pedestrian,2 Female,16-24,19,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/12
1180138818,WESTMINSTER,1,528550,180640,1,3 Pedestrian,2 Female,25-59,28,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/11
1180139203,WESTMINSTER,1,526600,179450,1,3 Pedestrian,1 Male,25-59,47,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/15
1180139277,WESTMINSTER,1,529790,181300,1,3 Pedestrian,1 Male,25-59,36,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/15
1180139435,WESTMINSTER,1,526980,182290,2,3 Pedestrian,2 Female,25-59,37,1,1,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian,2018/10/16
1180139441,WESTMINSTER,1,525150,182510,1,3 Pedestrian,1 Male,0-15,14,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/16
1180139684,WESTMINSTER,1,529680,180620,1,3 Pedestrian,1 Male,16-24,24,1,1,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian,2018/10/17
1180139767,WESTMINSTER,1,529950,179510,1,3 Pedestrian,2 Female,60+,71,1,2,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/16
1180139815,WESTMINSTER,1,526590,181670,1,3 Pedestrian,1 Male,0-15,15,1,2,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/18
1180139920,WESTMINSTER,1,527320,180880,1,3 Pedestrian,1 Male,16-24,21,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/18
1180140009,WESTMINSTER,1,528870,182150,1,3 Pedestrian,2 Female,0-15,14,1,1,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/19
1180140139,WESTMINSTER,1,528020,181670,1,3 Pedestrian,2 Female,25-59,55,1,2,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/19
1180140632,WESTMINSTER,1,529400,181280,1,3 Pedestrian,1 Male,Unknown,0,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/22
1180140644,WESTMINSTER,1,529780,180630,1,3 Pedestrian,1 Male,16-24,21,1,1,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian,2018/10/21
1180140895,WESTMINSTER,1,527320,182280,1,3 Pedestrian,2 Female,60+,62,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/23
1180140933,WESTMINSTER,1,528700,180930,1,3 Pedestrian,2 Female,25-59,40,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/23
1180141032,WESTMINSTER,1,529430,181320,1,3 Pedestrian,2 Female,16-24,17,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/24
1180141297,WESTMINSTER,1,529910,181030,1,3 Pedestrian,1 Male,25-59,40,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/25
1180141387,WESTMINSTER,1,530150,180830,1,3 Pedestrian,2 Female,25-59,39,1,2,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/26
1180141799,WESTMINSTER,1,529110,180990,1,3 Pedestrian,2 Female,16-24,24,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/28
1180141915,WESTMINSTER,1,530100,180200,1,3 Pedestrian,1 Male,25-59,37,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/29
1180142582,WESTMINSTER,1,528880,182160,1,3 Pedestrian,2 Female,16-24,22,1,1,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian,2018/10/14
1180142762,WESTMINSTER,1,524912,181823,2,3 Pedestrian,2 Female,16-24,24,1,1,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian,2018/10/30
1180142955,WESTMINSTER,1,527100,181650,1,3 Pedestrian,2 Female,25-59,35,1,1,08 In Centre Of Carriageway,9 Unknown Or Other,1 Pedestrian,2018/11/2
1180143144,WESTMINSTER,1,527100,179685,1,3 Pedestrian,2 Female,60+,67,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/2
1180143456,WESTMINSTER,1,529610,180880,1,3 Pedestrian,2 Female,16-24,24,1,1,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian,2018/11/1
1180143513,WESTMINSTER,1,528830,181230,1,3 Pedestrian,2 Female,25-59,44,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/6
1180143513,WESTMINSTER,1,528830,181230,2,3 Pedestrian,2 Female,Unknown,0,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/6
1180143580,WESTMINSTER,1,526550,181070,1,3 Pedestrian,2 Female,25-59,58,1,2,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/11/5
1180144334,WESTMINSTER,1,530100,180960,1,3 Pedestrian,2 Female,25-59,34,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/11/8
1180144379,WESTMINSTER,1,529050,181210,2,3 Pedestrian,1 Male,25-59,34,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/8
1180144539,WESTMINSTER,1,527260,181670,1,3 Pedestrian,2 Female,60+,67,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/11/9
1180144620,WESTMINSTER,1,529970,180810,1,3 Pedestrian,1 Male,0-15,15,1,1,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian,2018/11/10
1180144700,WESTMINSTER,1,526980,181500,1,3 Pedestrian,2 Female,25-59,34,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/10
1180144989,WESTMINSTER,1,529450,180870,1,3 Pedestrian,1 Male,Unknown,0,1,1,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian,2018/10/27
1180145063,WESTMINSTER,1,527130,181630,1,3 Pedestrian,2 Female,60+,86,1,2,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/11/12
1180145406,WESTMINSTER,1,530370,180730,1,3 Pedestrian,2 Female,60+,77,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/13
1180145619,WESTMINSTER,1,528370,181080,1,3 Pedestrian,1 Male,60+,78,1,1,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian,2018/11/14
1180145669,WESTMINSTER,1,529200,180810,1,3 Pedestrian,1 Male,25-59,44,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/14
1180145823,WESTMINSTER,1,529490,180210,1,3 Pedestrian,2 Female,16-24,23,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/15
1180145920,WESTMINSTER,1,529130,178870,1,3 Pedestrian,2 Female,60+,63,1,1,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian,2018/11/14
1180145963,WESTMINSTER,1,529750,180910,1,3 Pedestrian,2 Female,25-59,28,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/16
1180146229,WESTMINSTER,1,527840,180980,1,3 Pedestrian,2 Female,60+,68,1,2,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian,2018/11/17
1180146273,WESTMINSTER,1,528970,181350,1,3 Pedestrian,1 Male,25-59,34,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/11/17
1180146318,WESTMINSTER,1,529420,181310,1,3 Pedestrian,1 Male,16-24,22,1,1,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian,2018/11/17
1180146827,WESTMINSTER,1,527900,182040,1,3 Pedestrian,2 Female,60+,86,1,2,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/11/20
1180147183,WESTMINSTER,1,529460,179950,2,3 Pedestrian,1 Male,25-59,41,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/11/21
1180147626,WESTMINSTER,1,527910,180940,1,3 Pedestrian,2 Female,25-59,51,1,2,08 In Centre Of Carriageway,1 From Drivers N/Side,1 Pedestrian,2018/11/23
1180147654,WESTMINSTER,1,524770,182960,1,3 Pedestrian,1 Male,0-15,2,1,1,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian,2018/11/23
1180147654,WESTMINSTER,1,524770,182960,2,3 Pedestrian,1 Male,0-15,3,1,1,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian,2018/11/23
1180147655,WESTMINSTER,1,526380,179620,1,3 Pedestrian,2 Female,25-59,58,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/11/23
1180147826,WESTMINSTER,1,529440,181310,1,3 Pedestrian,2 Female,16-24,18,1,1,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian,2018/11/24
1180148346,WESTMINSTER,1,525470,182210,1,3 Pedestrian,2 Female,60+,60,1,1,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian,2018/11/14
1180148426,WESTMINSTER,1,528250,181060,1,3 Pedestrian,2 Female,25-59,30,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/27
1180149323,WESTMINSTER,1,527830,181030,1,3 Pedestrian,2 Female,25-59,30,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/12/1
1180149348,WESTMINSTER,1,528910,180420,1,3 Pedestrian,1 Male,25-59,45,1,2,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/12/1
1180149348,WESTMINSTER,1,528910,180420,2,3 Pedestrian,2 Female,16-24,18,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/12/1
1180149545,WESTMINSTER,1,528560,180850,1,3 Pedestrian,1 Male,60+,65,1,1,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian,2018/12/3
1180149614,WESTMINSTER,1,530210,180530,1,3 Pedestrian,1 Male,16-24,24,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/14
1180149762,WESTMINSTER,1,529940,178980,1,3 Pedestrian,1 Male,0-15,11,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/12/4
1180150161,WESTMINSTER,1,525090,181500,1,3 Pedestrian,1 Male,25-59,40,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/5
1180150736,WESTMINSTER,1,527640,181070,1,3 Pedestrian,2 Female,25-59,40,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/7
1180150784,WESTMINSTER,1,527930,181430,1,3 Pedestrian,2 Female,60+,62,1,2,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/7
1180150806,WESTMINSTER,1,529630,179230,1,3 Pedestrian,2 Female,25-59,26,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/7
1180150892,WESTMINSTER,1,529250,180850,1,3 Pedestrian,2 Female,25-59,26,1,1,10 Unknown,3 From Drivers O/Side,1 Pedestrian,2018/12/8
1180150897,WESTMINSTER,1,525790,181400,1,3 Pedestrian,2 Female,25-59,32,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/8
1180151210,WESTMINSTER,1,529040,179090,1,3 Pedestrian,1 Male,25-59,30,1,1,10 Unknown,3 From Drivers O/Side,1 Pedestrian,2018/12/6
1180151348,WESTMINSTER,1,529410,180630,1,3 Pedestrian,2 Female,25-59,26,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/12/11
1180151402,WESTMINSTER,1,530190,179390,1,3 Pedestrian,1 Male,60+,66,1,1,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian,2018/12/10
1180151562,WESTMINSTER,1,528340,181580,1,3 Pedestrian,2 Female,25-59,42,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/12
1180151738,WESTMINSTER,1,525732,181197,1,3 Pedestrian,2 Female,25-59,52,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/12/12
1180151892,WESTMINSTER,1,525490,181810,1,3 Pedestrian,2 Female,0-15,12,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/13
1180151924,WESTMINSTER,1,529660,181350,1,3 Pedestrian,2 Female,25-59,59,1,1,07 On Refuge,9 Unknown Or Other,1 Pedestrian,2018/12/13
1180152021,WESTMINSTER,1,529360,178230,1,3 Pedestrian,1 Male,25-59,29,1,1,08 In Centre Of Carriageway,1 From Drivers N/Side,1 Pedestrian,2018/12/13
1180152244,WESTMINSTER,1,528290,179900,1,3 Pedestrian,1 Male,25-59,33,1,2,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/12
1180152301,WESTMINSTER,1,530330,180630,1,3 Pedestrian,2 Female,16-24,21,1,1,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/15
1180152650,WESTMINSTER,1,528320,178460,1,3 Pedestrian,2 Female,25-59,48,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/16
1180152743,WESTMINSTER,1,527340,181650,2,3 Pedestrian,1 Male,16-24,23,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/12/17
1180152813,WESTMINSTER,1,530190,180350,1,3 Pedestrian,1 Male,25-59,26,1,2,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/12/17
1180153075,WESTMINSTER,1,529038,179108,1,3 Pedestrian,1 Male,60+,71,1,3,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/18
1180153179,WESTMINSTER,1,531030,181060,1,3 Pedestrian,2 Female,25-59,34,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/18
1180153196,WESTMINSTER,1,527190,181840,1,3 Pedestrian,2 Female,25-59,31,1,1,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian,2018/11/27
1180153235,WESTMINSTER,1,527900,181950,1,3 Pedestrian,2 Female,16-24,23,1,1,08 In Centre Of Carriageway,1 From Drivers N/Side,1 Pedestrian,2018/12/19
1180153247,WESTMINSTER,1,529301,179209,1,3 Pedestrian,1 Male,25-59,25,1,1,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/19
1180153310,WESTMINSTER,1,530050,180350,1,3 Pedestrian,2 Female,25-59,25,1,2,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/20
1180153327,WESTMINSTER,1,527068,181331,1,3 Pedestrian,2 Female,25-59,47,1,1,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian,2018/12/6
1180153434,WESTMINSTER,1,529120,181130,1,3 Pedestrian,2 Female,25-59,30,1,1,08 In Centre Of Carriageway,3 From Drivers O/Side,1 Pedestrian,2018/12/13
1180153549,WESTMINSTER,1,527570,181160,1,3 Pedestrian,2 Female,16-24,20,1,2,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/20
1180153666,WESTMINSTER,1,528410,181090,1,3 Pedestrian,1 Male,25-59,25,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/19
1180153931,WESTMINSTER,1,528837,182185,1,3 Pedestrian,2 Female,25-59,56,1,2,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/12/23
1180153942,WESTMINSTER,1,529690,180590,1,3 Pedestrian,2 Female,25-59,56,1,1,01 Crossing Road On Ped Xing,2 From Drivers N/Side Msk,1 Pedestrian,2018/12/22
1180154348,WESTMINSTER,1,528090,181100,1,3 Pedestrian,1 Male,25-59,43,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/12/25
1180154348,WESTMINSTER,1,528090,181100,2,3 Pedestrian,2 Female,25-59,41,1,1,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian,2018/12/25
1180154352,WESTMINSTER,1,524880,182100,1,3 Pedestrian,1 Male,16-24,17,1,2,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian,2018/12/25
1180154678,WESTMINSTER,1,530060,180870,1,3 Pedestrian,2 Female,60+,62,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/12/28
1180154975,WESTMINSTER,1,525510,182490,1,3 Pedestrian,1 Male,25-59,30,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/12/29
1180154990,WESTMINSTER,1,528723,179326,1,3 Pedestrian,1 Male,25-59,27,1,1,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian,2018/12/30
1180154999,WESTMINSTER,1,529070,180380,1,3 Pedestrian,1 Male,0-15,5,1,1,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian,2018/12/30
1180155006,WESTMINSTER,1,529310,179210,1,3 Pedestrian,2 Female,25-59,53,1,2,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/12/30
1180155007,WESTMINSTER,1,529680,181070,1,3 Pedestrian,1 Male,25-59,40,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/12/30
1180129742,CAMDEN,2,525410,185210,1,3 Pedestrian,2 Female,Unknown,0,1,1,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/18
1180137021,CAMDEN,2,526000,183680,1,3 Pedestrian,2 Female,25-59,29,1,2,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/5
1180137021,CAMDEN,2,526000,183680,2,3 Pedestrian,2 Female,0-15,0,1,1,10 Unknown,9 Unknown Or Other,1 Pedestrian,2018/10/5
1180137102,CAMDEN,2,530577,182712,1,3 Pedestrian,1 Male,25-59,36,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/5
1180137121,CAMDEN,2,529200,182940,1,3 Pedestrian,1 Male,25-59,25,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/5
1180137188,CAMDEN,2,528930,184270,1,3 Pedestrian,2 Female,25-59,51,1,2,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/6
1180137543,CAMDEN,2,527550,184160,1,3 Pedestrian,2 Female,25-59,56,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/8
1180137856,CAMDEN,2,531370,182050,1,3 Pedestrian,2 Female,25-59,35,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/9
1180138621,CAMDEN,2,529218,182683,1,3 Pedestrian,1 Male,25-59,30,1,1,10 Unknown,1 From Drivers N/Side,1 Pedestrian,2018/10/9
1180138692,CAMDEN,2,528830,184000,1,3 Pedestrian,1 Male,16-24,17,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/12
1180139516,CAMDEN,2,529770,181470,1,3 Pedestrian,2 Female,16-24,18,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/16
1180139734,CAMDEN,2,528840,182380,1,3 Pedestrian,1 Male,25-59,36,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/17
1180139832,CAMDEN,2,528770,185110,1,3 Pedestrian,2 Female,25-59,54,1,1,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian,2018/10/18
1180140101,CAMDEN,2,530110,182100,1,3 Pedestrian,2 Female,25-59,49,1,2,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/19
1180140502,CAMDEN,2,528640,184200,1,3 Pedestrian,2 Female,25-59,55,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/21
1180140658,CAMDEN,2,528620,183520,1,3 Pedestrian,1 Male,0-15,5,1,2,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/22
1180140825,CAMDEN,2,526480,185680,1,3 Pedestrian,1 Male,25-59,25,1,1,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian,2018/10/23
1180141011,CAMDEN,2,528567,184666,1,3 Pedestrian,2 Female,16-24,22,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/21
1180141131,CAMDEN,2,530250,181940,2,3 Pedestrian,2 Female,60+,63,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/24
1180141282,CAMDEN,2,530060,184290,1,3 Pedestrian,2 Female,16-24,21,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/25
1180141325,CAMDEN,2,531520,181800,1,3 Pedestrian,2 Female,25-59,50,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/25
1180141425,CAMDEN,2,530980,182020,1,3 Pedestrian,1 Male,25-59,33,1,1,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian,2018/10/26
1180142072,CAMDEN,2,529150,183150,1,3 Pedestrian,1 Male,25-59,39,1,1,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian,2018/10/29
1180142661,CAMDEN,2,528330,185130,1,3 Pedestrian,1 Male,16-24,20,1,1,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian,2018/11/1
1180143045,CAMDEN,2,529060,184650,1,3 Pedestrian,2 Female,25-59,30,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/11/2
