ACCIDENT REF,BOROUGH,BORO,EASTING,NORTHING,CREFNO,CASUALTY CLASS,CASUALTY SEX,CASUALTY AGE (BANDED),CASUALTY AGE,NO. OF CASUALTIES,CASUALTY SEVERITY,PED LOCATION,PED MOVEMENT,MODE OF TRAVEL,ACCIDENT DATE
1190205036,CITY OF LONDON,0,531615,181286,1,3 PEDESTRIAN,2 FEMALE,25-59,30,1,2,05 CROSSING ROAD (NOT ON XING),9 UNKNOWN OR OTHER,1 PEDESTRIAN,2019/9/13
1190205037,HOUNSLOW,25,512931,174859,1,3 PEDESTRIAN,1 MALE,16-24,17,1,2,06 ON FOOTPATH - VERGE,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/12
1190205040,ISLINGTON,3,530953,186428,1,3 PEDESTRIAN,1 MALE,25-59,27,1,1,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205048,LEWISHAM,7,537006,176484,1,3 PEDESTRIAN,1 MALE,60+,60,1,1,09 IN ROAD - NOT CROSSING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN,2019/8/15
1190205062,HAMMERSMITH & FULHAM,11,523185,181560,1,3 PEDESTRIAN,1 MALE,25-59,42,1,1,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205094,ISLINGTON,3,530619,184561,1,3 PEDESTRIAN,2 FEMALE,16-24,24,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/6/9
1190205097,SOUTHWARK,8,532267,178460,1,3 PEDESTRIAN,1 MALE,0-15,8,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/12
1190205102,LAMBETH,9,530736,177879,1,3 PEDESTRIAN,1 MALE,60+,65,1,1,01 CROSSING ROAD ON PED XING,9 UNKNOWN OR OTHER,1 PEDESTRIAN,2019/9/13
1190205110,WESTMINSTER,1,530133,179585,1,3 PEDESTRIAN,2 FEMALE,60+,74,1,1,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205116,SUTTON,21,524267,163675,1,3 PEDESTRIAN,2 FEMALE,60+,69,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205156,HACKNEY,4,533584,182812,1,3 PEDESTRIAN,2 FEMALE,0-15,7,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205159,NEWHAM,17,540847,182758,1,3 PEDESTRIAN,2 FEMALE,16-24,16,2,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205159,NEWHAM,17,540847,182758,2,3 PEDESTRIAN,2 FEMALE,16-24,17,2,1,05 CROSSING ROAD (NOT ON XING),9 UNKNOWN OR OTHER,1 PEDESTRIAN,2019/9/13
1190205160,BROMLEY,19,540306,168935,1,3 PEDESTRIAN,2 FEMALE,0-15,13,1,1,05 CROSSING ROAD (NOT ON XING),1 FROM DRIVERS N/SIDE,1 PEDESTRIAN,2019/9/13
1190205166,TOWER HAMLETS,5,533908,181323,1,3 PEDESTRIAN,1 MALE,25-59,38,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/11
1190205167,BARNET,30,519336,192790,1,3 PEDESTRIAN,2 FEMALE,0-15,11,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205184,BRENT,28,519471,186586,1,3 PEDESTRIAN,1 MALE,0-15,12,1,2,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205189,HOUNSLOW,25,513846,175692,1,3 PEDESTRIAN,2 FEMALE,60+,69,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205195,BROMLEY,19,541152,168266,1,3 PEDESTRIAN,2 FEMALE,25-59,41,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/12
1190205203,WESTMINSTER,1,530395,180286,1,3 PEDESTRIAN,2 FEMALE,25-59,54,1,2,04 CROSSING ROAD WITHIN 50M XING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN,2019/9/13
